"AllDetails","Unit","Name","Input_output_parameter","Fast-90%-12hourswitch","Fast-90%-6hourswitch","Fast-90%-0hourswitch","Fast-75%-12hourswitch","Fast-75%-6hourswitch","Fast-75%-0hourswitch","Fast-50%-12hourswitch","Fast-50%-6hourswitch","Fast-50%-0hourswitch","Medium-90%-12hourswitch","Medium-90%-6hourswitch","Medium-90%-0hourswitch","Medium-75%-12hourswitch","Medium-75%-6hourswitch","Medium-75%-0hourswitch","Medium-50%-12hourswitch","Medium-50%-6hourswitch","Medium-50%-0hourswitch"
"GeneralFermentation_Run_TimeParameter","General","Fermentation Run Time","Parameter",57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7
"GeneralNumber_of_fermentersParameter","General","Number of fermenters","Parameter",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"BioreactorFeedstockInput","Bioreactor","Feedstock","Input",4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08
"BioreactorNitrogenInput","Bioreactor","Nitrogen","Input",6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07,6.8e+07
"BioreactorSaltsInput","Bioreactor","Salts","Input",2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000,2430000
"BioreactorWaterInput","Bioreactor","Water","Input",7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08,7.16e+08
"BioreactorAir_(N2/O2)Input","Bioreactor","Air (N2/O2)","Input",1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09,1.82e+09
"CentrifugeWaterInput","Centrifuge","Water","Input",80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000,80200000
"pH_adjustmentNaOHInput","pH adjustment","NaOH","Input",1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08,1.11e+08
"ExtracterSolventInput","Extracter","Solvent","Input",697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000,697000
"BioreactorCO2Output","Bioreactor","CO2","Output",2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08,2.32e+08
"BioreactorAirOutput","Bioreactor","Air","Output",1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09,1.72e+09
"DryingWater_vaporOutput","Drying","Water vapor","Output",55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000,55400000
"DryingBiomass_Output","Drying","Biomass ","Output",21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000,21600000
"Distillation_step_2ProductOutput","Distillation step 2","Product","Output",1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08,1.01e+08
"EvaporatorCakeOutput","Evaporator","Cake","Output",1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.95e+08
"EvaporatorWater_vaporOutput","Evaporator","Water vapor","Output",4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08
"EvaporatorWaterOutput","Evaporator","Water","Output",4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08
"Distillation_step_2Heavy_OrganicsOutput","Distillation step 2","Heavy Organics","Output",19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000,19200000
